ParcelID,Taxes2021,Taxes2020,Taxes2019,Taxes2018,Taxes2017,Taxes2016,Taxes2015,Mortgage Company,Mortgage.Service Co Name
21000201717,,,,,,,,,
16130292800,,,,,,,,,
34000246101,,,,,,,,,
5000062220,,,,,,,,,
38020008000,,,,,,,,7501,CORE LOGIC
38030023400,,,,,,,,7501,CORE LOGIC
7000074300,,,,,,,,,
23000026698,,,,,,,,,
5000003013,,,,,,,,,
8000011100,,,,,,,,7501,CORE LOGIC
38060069500,,,,,,,,,
2000278743,,,,,,,,,
8000026300,,,,,,,,,
36070474335,,,,,,,,,
8000009900,,,,,,,,7501,CORE LOGIC
5000062510,,,,,,,,,
5000062821,,,,,,,,,
43000154000,,,,,,,,,
2000278960,527.07,618.36,,,,,,,
38060110600,,,,,,,,,
2000278761,,,,,,,,,
8000026900,,,,,,,,,
26000081325,,,,,,,,7501,CORE LOGIC
8000059600,,,,,,,,,
7000210300,,,,,,,,,
23000026623,,,,,,,,,
7000202200,,,,,,,,,
10000083400,,,,,,,,,
49020166800,,,,,,,,,
36070474409,,,,,,,,,
15000075400,,,,,,,,6455,LERETA
43000171300,,,,,,,,,
7000203000,171.04,,,,,,,,
15000184500,"1,270.76",,,,,,,,
38060113700,,,,,,,,,
16040165900,,,,,,,,,
5000062817,,,,,,,,6455,LERETA
5000062553,,,,,,,,7501,CORE LOGIC
5000062305,,,,,,,,6300,WELLS FARGO
10000179440,,,,,,,,,
11000251000,,,,,,,,,
38020206200,,,,,,,,7501,CORE LOGIC
5000062308,,,,,,,,7501,CORE LOGIC
36070474428,,,,,,,,,
5000062034,,,,,,,,7501,CORE LOGIC
16040216100,,,,,,,,,
43000160600,,,,,,,,,
31000092200,,,,,,,,,
13000039663,,,,,,,,,
27000007301,,,,,,,,,
36010064411,,,,,,,,,
38060107800,,,,,,,,7501,CORE LOGIC
30000280800,,,,,,,,,
34000008240,"2,749.35",,,,,,,,
16040158100,,,,,,,,,
8000009600,,,,,,,,6300,WELLS FARGO
38030229600,,,,,,,,7501,CORE LOGIC
4000001786,,,,,,,,,
14000155600,,,,,,,,,
46000068252,171.67,216.38,226.1,382.9,216.53,,,,
21000089981,,,,,,,,,
38060068400,,,,,,,,7501,CORE LOGIC
12000033500,,,,,,,,,
8000114300,,,,,,,,7501,CORE LOGIC
36050282101,,,,,,,,7501,CORE LOGIC
16040066100,,,,,,,,,
10000212600,,,,,,,,,
34000006220,,,,,,,,7501,CORE LOGIC
5000034100,,,,,,,,6300,WELLS FARGO
5000062663,,,,,,,,,
15000030100,,,,,,,,,
5000062296,,,,,,,,,
8000019100,,,,,,,,,
14000357800,,,,,,,,,
5000062221,,,,,,,,,
21000089920,,,,,,,,,
2000175700,,,,,,,,6250,IRON WORKERS SAVINGS & LOAN
15000014600,,,,,,,,,
8000123500,,,,,,,,,
30000204663,,,,,,,,,
21000201758,,,,,,,,,
11000037500,,,,,,,,,
8000105100,,,,,,,,,
36030170042,,,,,,,,,
8000109400,,,,,,,,,
15000030900,,,,,,,,,
2000273800,,,,,,,,7501,CORE LOGIC
30000063527,,,,,,,,,
49110191700,,,,,,,,,
8000059500,,,,,,,,7501,CORE LOGIC
36030170172,,,,,,,,,
9000337700,,,,,,,,,
4000001817,,,,,,,,,
15000325500,,,,,,,,,
36070474279,,,,,,,,6300,WELLS FARGO
48000183056,,,,,,,,,
36070474166,,,,,,,,,
34000028405,,,,,,,,,
36010064448,,,,,,,,,
34000174137,,,,,,,,7501,CORE LOGIC
9000072107,"2,239.28",,,,,,,,
7000203200,314.79,323.15,341.33,315.59,331.11,348.22,256.47,,
15000036500,,,,,,,,,
9000072158,"2,453.25",,,,,,,,
43000103925,,,,,,,,6300,WELLS FARGO
34000008437,,,,,,,,,
8000059100,,,,,,,,7501,CORE LOGIC
7000075000,,,,,,,,,
21000089991,,,,,,,,,
30000204665,,,,,,,,,
36030170145,,,,,,,,,
34000188859,,,,,,,,6455,LERETA
27000206100,,,,,,,,,
5000062482,,,,,,,,,
49070146503,159.04,"1,203.51",,,,,,,
49110182400,,,,,,,,,
21000089980,,,,,,,,,
23000026679,249.09,,,,,,,,
38030028500,,,,,,,,,
47000063400,127.84,,,,,,,,
48000276265,,,,,,,,,
34000068918,,,,,,,,,
8000110200,,,,,,,,,
49090021100,,,,,,,,,
